AML_sample_name	Method	Precision	Recall	F1
AML_81_001	GATK	0.0	0.0	0.0
AML_81_001	Mutect2	0.0	0.0	0.0
AML_81_001	PHALCON	0.0	0.0	0.0
AML_82_001	COMPASS	0.1176470588235294	0.4	0.1818181818181818
AML_82_001	GATK	0.1333333333333333	0.8	0.22857142857142854
AML_82_001	Mutect2	0.1578947368421052	0.6	0.24999999999999992
AML_82_001	PHALCON	0.8333333333333334	1.0	0.9090909090909091
AML_83_001	COMPASS	0.0	0.0	0.0
AML_83_001	GATK	0.0357142857142857	0.5	0.06666666666666664
AML_83_001	Mutect2	0.0869565217391304	1.0	0.15999999999999995
AML_83_001	PHALCON	0.5	1.0	0.6666666666666666
AML_84_001	COMPASS	0.0	0.0	0.0
AML_84_001	GATK	0.0769230769230769	0.6	0.13636363636363633
AML_84_001	Mutect2	0.1666666666666666	0.6	0.26086956521739124
AML_84_001	PHALCON	0.5	0.6	0.5454545454545454
AML_86_001	COMPASS	0.0833333333333333	0.25	0.12499999999999996
AML_86_001	GATK	0.0869565217391304	0.5	0.1481481481481481
AML_86_001	Mutect2	0.04	0.25	0.06896551724137932
AML_86_001	PHALCON	0.6	0.75	0.6666666666666665
AML_87_001	COMPASS	0.0588235294117647	0.3333333333333333	0.09999999999999998
AML_87_001	GATK	0.0666666666666666	0.6666666666666666	0.1212121212121211
AML_87_001	Mutect2	0.1428571428571428	0.6666666666666666	0.23529411764705874
AML_87_001	PHALCON	0.2857142857142857	0.6666666666666666	0.4
AML_88_001	COMPASS	0.0	0.0	0.0
AML_88_001	GATK	0.05	0.3333333333333333	0.08695652173913045
AML_88_001	Mutect2	0.0476190476190476	0.3333333333333333	0.0833333333333333
AML_88_001	PHALCON	0.3333333333333333	0.3333333333333333	0.3333333333333333
AML_90_001	COMPASS	0.125	0.2	0.15384615384615385
AML_90_001	GATK	0.2333333333333333	0.7	0.35
AML_90_001	Mutect2	0.5833333333333334	0.7	0.6363636363636365
AML_90_001	PHALCON	1.0	0.6	0.7499999999999999
AML_91_001	COMPASS	0.1875	0.3333333333333333	0.24000000000000005
AML_91_001	GATK	0.2307692307692307	0.6666666666666666	0.3428571428571428
AML_91_001	Mutect2	0.0869565217391304	0.2222222222222222	0.12499999999999997
AML_91_001	PHALCON	0.7	0.7777777777777778	0.7368421052631577
AML_92_001	COMPASS	0.125	0.25	0.16666666666666666
AML_92_001	GATK	0.1923076923076923	0.625	0.2941176470588235
AML_92_001	Mutect2	0.2727272727272727	0.75	0.39999999999999997
AML_92_001	PHALCON	0.8571428571428571	0.75	0.7999999999999999
AML_93_001	COMPASS	0.0	0.0	0.0
AML_93_001	GATK	0.0588235294117647	0.5	0.10526315789473682
AML_93_001	Mutect2	0.1052631578947368	1.0	0.1904761904761904
AML_93_001	PHALCON	0.3333333333333333	0.5	0.4
AML_94_001	COMPASS	0.0714285714285714	0.25	0.11111111111111108
AML_94_001	GATK	0.16	1.0	0.2758620689655173
AML_94_001	Mutect2	0.0	0.0	0.0
AML_94_001	PHALCON	0.8	1.0	0.888888888888889
AML_95_001	COMPASS	0.0	0.0	0.0
AML_95_001	GATK	0.0	0.0	0.0
AML_95_001	Mutect2	0.0	0.0	0.0
AML_95_001	PHALCON	0.0	0.0	0.0
AML_98_001	COMPASS	0.0769230769230769	0.125	0.09523809523809522
AML_98_001	GATK	0.125	0.375	0.1875
AML_98_001	Mutect2	0.1818181818181818	0.5	0.26666666666666666
AML_98_001	PHALCON	0.6666666666666666	0.5	0.5714285714285715
AML_99_001	COMPASS	0.0	0.0	0.0
AML_99_001	GATK	0.05	0.2	0.08000000000000002
AML_99_001	Mutect2	0.0	0.0	0.0
AML_99_001	PHALCON	0.4	0.4	0.4000000000000001
